indicatore,valore
totale_record_soggetti,5913
totale_soggetti_unici,4751
soggetti_validi_localizzati,4622
soggetti_validi_non_localizzati,0
soggetti_generici,104
soggetti_esclusi,25
potenziali_duplicati_record,1789
