indicatore,valore
totale_record_soggetti,5496
totale_soggetti_unici,4627
soggetti_validi_localizzati,4502
soggetti_validi_non_localizzati,0
soggetti_generici,100
soggetti_esclusi,25
potenziali_duplicati_record,1325
