tipologia,numero
Enti territoriali / servizi comunali,253
Giustizia e forze dell'ordine,93
Sanità e servizi territoriali,81
CAV e Case Rifugio,79
Associazionismo,62
Altri attori istituzionali / professionali,35
Altro,21
Enti territoriali sovracomunali,19
Ambiti socio-sanitari,19
Province/Città metropolitane,16
Regioni/Province Autonome,2
