id_rete,file,titolo_rete,regione,provincia,ambito_territoriale,atto_formale,tipologia_dominante_10,n_soggetti,n_attori,n_firmatari,n_proponenti,n_gestione,n_monitoraggio,n_coordinamento,n_governance
18_2406_rta_18_240926102317_4166---PROTOCOLLOISTITUTOSUP.NOSTRO-REPACI.txt,18_2406_rta_18_240926102317_4166---PROTOCOLLOISTITUTOSUP.NOSTRO-REPACI.txt,2406_rta_18_240926102317_4166---PROTOCOLLOISTITUTOSUP.NOSTRO-REPACI,Calabria,nan,Ambito regionale/Prov. Autonome,0,CAV,3,2,2,0,0,0,0,0
18_2406_rta_18_240926102333_4166---accordodiretecentroaiutodonna.txt,18_2406_rta_18_240926102333_4166---accordodiretecentroaiutodonna.txt,2406_rta_18_240926102333_4166---accordodiretecentroaiutodonna,Calabria,nan,Ambito regionale/Prov. Autonome,0,associazionismo,4,3,2,1,0,0,1,1
18_2406_rta_18_240926102407_4166---ProtocollointesaAISM_CentroLanzino_ReteREDCALABRIA_firmadigitale.txt,18_2406_rta_18_240926102407_4166---ProtocollointesaAISM_CentroLanzino_ReteREDCALABRIA_firmadigitale.txt,2406_rta_18_240926102407_4166---ProtocollointesaAISM_CentroLanzino_ReteREDCALABRIA_firmadigitale,Calabria,nan,Ambito regionale/Prov. Autonome,0,associazionismo,16,4,2,2,0,0,0,0
18_2406_rta_18_240926102419_4166---protocollodiintesaterritorialeunito.txt,18_2406_rta_18_240926102419_4166---protocollodiintesaterritorialeunito.txt,2406_rta_18_240926102419_4166---protocollodiintesaterritorialeunito,Calabria,Cosenza,Ambito regionale/Prov. Autonome,0,Servizi comunali,30,30,0,3,0,0,0,0
18_2406_rta_18_240926102528_4166---PROTOCOLLOAISM_PICCOLAOPERA_firma.txt,18_2406_rta_18_240926102528_4166---PROTOCOLLOAISM_PICCOLAOPERA_firma.txt,2406_rta_18_240926102528_4166---PROTOCOLLOAISM_PICCOLAOPERA_firma,Calabria,nan,Ambito regionale/Prov. Autonome,0,associazionismo,8,5,2,2,2,0,0,2
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,2406_rta_18_240926102620_4166---protocollopercorsorosa,Calabria,Catanzaro,Ambito regionale/Prov. Autonome,0,altro,35,34,35,2,0,0,0,0
18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,2406_rta_18_240926102706_4166---protocollomondorosa2013,Calabria,nan,Ambito regionale/Prov. Autonome,0,altro,24,23,23,2,1,0,2,2
18_2406_rta_18_240926102814_4166---convenzDemetraIISCostanzoDecollatura2020.txt,18_2406_rta_18_240926102814_4166---convenzDemetraIISCostanzoDecollatura2020.txt,2406_rta_18_240926102814_4166---convenzDemetraIISCostanzoDecollatura2020,Calabria,Catanzaro,Ambito regionale/Prov. Autonome,0,Settore Educativo,3,1,1,0,0,0,0,0
18_2406_rta_18_240926102931_4166---PROT.2403-24.txt,18_2406_rta_18_240926102931_4166---PROT.2403-24.txt,2406_rta_18_240926102931_4166---PROT.2403-24,Calabria,nan,Ambito regionale/Prov. Autonome,0,CAV,13,1,1,0,0,1,1,2
18_2406_rta_18_240926102943_4166---schemaAccordoCollaborazione499ARIEL_signed.txt,18_2406_rta_18_240926102943_4166---schemaAccordoCollaborazione499ARIEL_signed.txt,2406_rta_18_240926102943_4166---schemaAccordoCollaborazione499ARIEL_signed,Calabria,nan,Ambito regionale/Prov. Autonome,0,Province/Città metropolitane,9,2,2,0,1,2,1,3
18_2406_rta_18_240926103211_4166---PROTOCOLLOviolasottoscritto.txt,18_2406_rta_18_240926103211_4166---PROTOCOLLOviolasottoscritto.txt,2406_rta_18_240926103211_4166---PROTOCOLLOviolasottoscritto,Calabria,Cosenza,Ambito regionale/Prov. Autonome,0,Settore giudiziario,27,24,19,1,0,1,3,4
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO,Emilia-Romagna,Bologna,Ambito regionale/Prov. Autonome,0,Province/Città metropolitane,27,26,8,3,1,0,7,8
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,Emilia-Romagna,Bologna,Ambito regionale/Prov. Autonome,0,Servizi comunali,84,80,78,0,0,0,0,0
08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023,Emilia-Romagna,Ferrara,Ambito regionale/Prov. Autonome,0,associazionismo,33,31,30,6,0,0,1,1
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped,Emilia-Romagna,Ferrara,Ambito regionale/Prov. Autonome,0,associazionismo,44,38,19,11,5,1,3,8
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def,Emilia-Romagna,nan,Ambito regionale/Prov. Autonome,0,associazionismo,24,20,17,12,0,0,0,0
08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot,Emilia-Romagna,Rimini,Ambito regionale/Prov. Autonome,0,Servizi comunali,44,39,28,2,0,0,2,2
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,2406_rta_08_241015091621_4166---PROTOCOLLO_22,Emilia-Romagna,nan,Ambito regionale/Prov. Autonome,0,altro,35,32,17,3,4,0,0,4
08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008,Emilia-Romagna,nan,Ambito regionale/Prov. Autonome,0,Settore giudiziario,42,30,15,15,0,0,2,2
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,2406_rta_08_241015091725_4166---Protoc-Prefett-2017,Emilia-Romagna,Modena,Ambito regionale/Prov. Autonome,0,Servizi comunali,38,30,30,5,0,0,0,0
08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025,Emilia-Romagna,Ravenna,Ambito regionale/Prov. Autonome,0,Servizi comunali,14,11,9,0,0,0,1,1
08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1),Emilia-Romagna,Piacenza,Ambito regionale/Prov. Autonome,0,Settore giudiziario,16,13,12,3,0,1,0,1
08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,2406_rta_08_241015091917_4166---Protocollo2022-2024,Emilia-Romagna,Piacenza,Area metropolitana/provinciale,0,altro,10,6,6,6,0,0,1,1
08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015092005_4166---DG216-2024.txt,2406_rta_08_241015092005_4166---DG216-2024,Emilia-Romagna,nan,Area metropolitana/provinciale,0,associazionismo,14,14,0,14,0,0,3,3
08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,2406_rta_08_241015092024_4166---Protocollooperativo,Emilia-Romagna,nan,Area metropolitana/provinciale,0,Servizi comunali,31,29,0,0,1,0,0,1
08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009,Emilia-Romagna,Ravenna,Ambito regionale/Prov. Autonome,0,Servizi comunali,22,20,18,5,1,0,1,2
06_2406_rta_06_240916164102_4166---protocollopordenoneprefettura.txt,06_2406_rta_06_240916164102_4166---protocollopordenoneprefettura.txt,2406_rta_06_240916164102_4166---protocollopordenoneprefettura,Friuli-Venezia Giulia,Pordenone,Ambito regionale/Prov. Autonome,0,Territorio,27,24,24,0,5,0,6,11
06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019,Friuli-Venezia Giulia,Gorizia,Ambito regionale/Prov. Autonome,0,Servizi comunali,60,19,52,0,2,1,0,3
12_2406_rta_12_240926112734_4166---3AccordoDistrettoVT4ePontedonna-signed(1).txt,12_2406_rta_12_240926112734_4166---3AccordoDistrettoVT4ePontedonna-signed(1).txt,2406_rta_12_240926112734_4166---3AccordoDistrettoVT4ePontedonna-signed(1),Lazio,Viterbo,Ambito regionale/Prov. Autonome,0,Territorio,15,3,2,0,1,0,0,1
12_2406_rta_12_240926112823_4166---2AccordoDemetra_Aman.txt,12_2406_rta_12_240926112823_4166---2AccordoDemetra_Aman.txt,2406_rta_12_240926112823_4166---2AccordoDemetra_Aman,Lazio,Viterbo,Ambito regionale/Prov. Autonome,0,associazionismo,3,2,2,0,1,0,0,1
12_2406_rta_12_240926113112_4166---4AccordoSpaziosupportodonnaAPSPonteDonna.txt,12_2406_rta_12_240926113112_4166---4AccordoSpaziosupportodonnaAPSPonteDonna.txt,2406_rta_12_240926113112_4166---4AccordoSpaziosupportodonnaAPSPonteDonna,Lazio,Roma,Ambito regionale/Prov. Autonome,0,associazionismo,2,2,2,0,1,0,0,1
12_2406_rta_12_240926113237_4166---Accordocavunuiversitari.txt,12_2406_rta_12_240926113237_4166---Accordocavunuiversitari.txt,2406_rta_12_240926113237_4166---Accordocavunuiversitari,Lazio,nan,Ambito regionale/Prov. Autonome,0,associazionismo,19,19,3,2,2,0,0,2
12_2406_rta_12_240926113409_4166---AccordoICSPietroVanniFormazionePontedonna.txt,12_2406_rta_12_240926113409_4166---AccordoICSPietroVanniFormazionePontedonna.txt,2406_rta_12_240926113409_4166---AccordoICSPietroVanniFormazionePontedonna,Lazio,nan,Ambito regionale/Prov. Autonome,0,Settore Educativo,2,1,0,0,0,0,0,0
12_2406_rta_12_240926114327_4166---1AccordoPonteDonnaAliceNova.txt,12_2406_rta_12_240926114327_4166---1AccordoPonteDonnaAliceNova.txt,2406_rta_12_240926114327_4166---1AccordoPonteDonnaAliceNova,Lazio,Viterbo,Ambito regionale/Prov. Autonome,0,associazionismo,2,1,1,0,0,0,0,0
12_2406_rta_12_240926115028_4166---ProtICROASLazioePonteDonna.txt,12_2406_rta_12_240926115028_4166---ProtICROASLazioePonteDonna.txt,2406_rta_12_240926115028_4166---ProtICROASLazioePonteDonna,Lazio,Roma,Ambito regionale/Prov. Autonome,0,Settore Educativo,4,2,1,0,0,0,0,0
12_2406_rta_12_240926122148_4166---2024.1153010-AccordotralepartiPonteDonna–UnderdogSocialClubCAVMarielleFranco-2(1).txt,12_2406_rta_12_240926122148_4166---2024.1153010-AccordotralepartiPonteDonna–UnderdogSocialClubCAVMarielleFranco-2(1).txt,2406_rta_12_240926122148_4166---2024.1153010-AccordotralepartiPonteDonna–UnderdogSocialClubCAVMarielleFranco-2(1),Lazio,nan,Ambito regionale/Prov. Autonome,0,altro,2,2,1,0,0,0,0,0
12_2406_rta_12_240926123509_4166---2024.1153010-ACCORDOtraAPSPonteDonnaeAPSMammeFuoriCAVMarielleFranco-10-11(1).txt,12_2406_rta_12_240926123509_4166---2024.1153010-ACCORDOtraAPSPonteDonnaeAPSMammeFuoriCAVMarielleFranco-10-11(1).txt,2406_rta_12_240926123509_4166---2024.1153010-ACCORDOtraAPSPonteDonnaeAPSMammeFuoriCAVMarielleFranco-10-11(1),Lazio,Roma,Ambito regionale/Prov. Autonome,0,associazionismo,3,1,1,0,0,0,0,0
12_2406_rta_12_240926124601_4166---ACCORDOtrlepartiITSETLOIeMarielleFranco(1).txt,12_2406_rta_12_240926124601_4166---ACCORDOtrlepartiITSETLOIeMarielleFranco(1).txt,2406_rta_12_240926124601_4166---ACCORDOtrlepartiITSETLOIeMarielleFranco(1),Lazio,nan,Ambito regionale/Prov. Autonome,0,Settore Educativo,4,1,1,1,0,0,0,0
12_2406_rta_12_240926133329_4166---ProtInt2CAVFRANCARAME-18-20(1).txt,12_2406_rta_12_240926133329_4166---ProtInt2CAVFRANCARAME-18-20(1).txt,2406_rta_12_240926133329_4166---ProtInt2CAVFRANCARAME-18-20(1),Lazio,Roma,Area metropolitana/provinciale,0,associazionismo,2,2,2,0,0,0,0,0
12_2406_rta_12_240926133452_4166---PISPICGIL.txt,12_2406_rta_12_240926133452_4166---PISPICGIL.txt,2406_rta_12_240926133452_4166---PISPICGIL,Lazio,nan,Area metropolitana/provinciale,0,associazionismo,3,3,2,0,0,0,0,0
12_2406_rta_12_240926133706_4166---STAR.txt,12_2406_rta_12_240926133706_4166---STAR.txt,2406_rta_12_240926133706_4166---STAR,Lazio,nan,Ambito regionale/Prov. Autonome,0,CAV,21,18,9,0,0,0,0,0
12_2406_rta_12_240926134140_4166---Protocollointesa.txt,12_2406_rta_12_240926134140_4166---Protocollointesa.txt,2406_rta_12_240926134140_4166---Protocollointesa,Lazio,Frosinone,Ambito regionale/Prov. Autonome,0,associazionismo,18,14,12,5,0,0,0,0
12_2406_rta_12_240926135421_4166---3protCAVFRANCARAME-28-30(1).txt,12_2406_rta_12_240926135421_4166---3protCAVFRANCARAME-28-30(1).txt,2406_rta_12_240926135421_4166---3protCAVFRANCARAME-28-30(1),Lazio,nan,Area metropolitana/provinciale,0,associazionismo,3,2,2,0,0,0,0,0
12_2406_rta_12_240926140522_4166---4ProtintCAVFRANCARAME-38-41(1).txt,12_2406_rta_12_240926140522_4166---4ProtintCAVFRANCARAME-38-41(1).txt,2406_rta_12_240926140522_4166---4ProtintCAVFRANCARAME-38-41(1),Lazio,nan,Area metropolitana/provinciale,0,associazionismo,3,2,2,0,0,0,0,0
12_2406_rta_12_240926143343_4166---2.1protocolloIntegra-CavMerlin(1).txt,12_2406_rta_12_240926143343_4166---2.1protocolloIntegra-CavMerlin(1).txt,2406_rta_12_240926143343_4166---2.1protocolloIntegra-CavMerlin(1),Lazio,nan,Area metropolitana/provinciale,0,associazionismo,5,3,2,0,0,0,0,0
12_2406_rta_12_240927093424_4166---ProtVMunMerlin.txt,12_2406_rta_12_240927093424_4166---ProtVMunMerlin.txt,2406_rta_12_240927093424_4166---ProtVMunMerlin,Lazio,nan,Ambito regionale/Prov. Autonome,0,altro,24,21,20,3,0,1,2,3
12_2406_rta_12_241001130527_4166---protocollocontrolaviolenzadigenere.pdfpdf.txt,12_2406_rta_12_241001130527_4166---protocollocontrolaviolenzadigenere.pdfpdf.txt,2406_rta_12_241001130527_4166---protocollocontrolaviolenzadigenere.pdfpdf,Lazio,Rieti,Ambito regionale/Prov. Autonome,0,Settore giudiziario,22,20,16,0,0,0,0,0
12_2406_rta_12_241001133138_4166---1protCAVSAPIENZA-COMITATODIQUARTIERESANLORENZO(1).txt,12_2406_rta_12_241001133138_4166---1protCAVSAPIENZA-COMITATODIQUARTIERESANLORENZO(1).txt,2406_rta_12_241001133138_4166---1protCAVSAPIENZA-COMITATODIQUARTIERESANLORENZO(1),Lazio,nan,Area metropolitana/provinciale,0,altro,2,1,1,0,0,0,0,0
12_2406_rta_12_241002105403_4166---2ProtCAVSAPIENZA-HAPPYCOACHINGANDCOUNSELING.txt,12_2406_rta_12_241002105403_4166---2ProtCAVSAPIENZA-HAPPYCOACHINGANDCOUNSELING.txt,2406_rta_12_241002105403_4166---2ProtCAVSAPIENZA-HAPPYCOACHINGANDCOUNSELING,Lazio,Roma,Area metropolitana/provinciale,0,associazionismo,3,2,2,0,0,0,0,0
