id_rete,input_json,titolo_rete,file,regione,provincia,comune_soggetto,nome_soggetto,tipo_dettaglio,tipo_aggregato_10,macro_tipologia,ruolo_attore,ruolo_firmatario,ruolo_proponente,ruolo_gestione,ruolo_monitoraggio,ruolo_coordinamento,ruolo_governance_totale,stato_osservazione
03_2406_rta_03_240918153252_4166---Protocollo+Appendice+LineeGuida_Datatodafirmare.txt,all_risultati_enriched_2.4.json,2406_rta_03_240918153252_4166---Protocollo+Appendice+LineeGuida_Datatodafirmare,03_2406_rta_03_240918153252_4166---Protocollo+Appendice+LineeGuida_Datatodafirmare.txt,Lombardia,Cremona,Cremona,Comune di Cremona,Comuni,Servizi comunali,Servizi comunali,1,1,1,0,0,1,1,valido_localizzato
09_PISA PREF E PROV.txt,all_risultati_enriched_2.4.json,PISA PREF E PROV,09_PISA PREF E PROV.txt,Toscana,Pisa,Crespina-Lorenzana,Comune di Crespina-Lorenzana,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,Bologna,Crevalcore,Comune di Crevalcore,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.txt,all_risultati_enriched_2.4.json,2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo,01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.txt,Piemonte,Cuneo,Cuneo,Comune di Cuneo,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
03_2406_rta_03_240926122707_4166---ProtocolloReteAntiviolenzaconfirme.txt,all_risultati_enriched_2.4.json,2406_rta_03_240926122707_4166---ProtocolloReteAntiviolenzaconfirme,03_2406_rta_03_240926122707_4166---ProtocolloReteAntiviolenzaconfirme.txt,Lombardia,Milano,Cusago,Comune di Cusago,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
09_PISTOIA PROV .txt,all_risultati_enriched_2.4.json,PISTOIA PROV ,09_PISTOIA PROV .txt,Toscana,nan,Cutigliano,Comune di Cutigliano,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
03_2406_rta_03_240920120751_4166---protocollodiintesa.txt,all_risultati_enriched_2.4.json,2406_rta_03_240920120751_4166---protocollodiintesa,03_2406_rta_03_240920120751_4166---protocollodiintesa.txt,Lombardia,Milano,Dairago,Comune di Dairago,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
03_2406_rta_03_240926123135_4166---ProtocollodiRete.txt,all_risultati_enriched_2.4.json,2406_rta_03_240926123135_4166---ProtocollodiRete,03_2406_rta_03_240926123135_4166---ProtocollodiRete.txt,Lombardia,Brescia,Darfo Boario Terme,Comune di Darfo Boario Terme,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,1,1,valido_localizzato
03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,all_risultati_enriched_2.4.json,2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo,03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,Lombardia,Brescia,Dello,Comune di Dello,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
03_2406_rta_03_240923165401_4166---PROTOCOLLODIrete2020-2023_rev2confirmescan.txt,all_risultati_enriched_2.4.json,2406_rta_03_240923165401_4166---PROTOCOLLODIrete2020-2023_rev2confirmescan,03_2406_rta_03_240923165401_4166---PROTOCOLLODIrete2020-2023_rev2confirmescan.txt,Lombardia,Brescia,Desenzano del Garda,Comune di Desenzano del Garda,Comuni,Servizi comunali,Servizi comunali,1,0,0,0,0,1,1,valido_localizzato
