cluster,n_reti,n_regioni_pa,percentuale_reti
Servizi Comunali - Ambito regionale/Prov. Autonome,6,1,50.0
Altro - Ambito regionale/Prov. Autonome,2,1,16.7
CAV e Case Rifugio - Ambito regionale/Prov. Autonome,1,1,8.3
Servizi Comunali - Ambito sociale,1,1,8.3
Servizi Comunali - Area metropolitana/provinciale,1,1,8.3
Settore Sanitario - Ambito regionale/Prov. Autonome,1,1,8.3
