tipologia,numero
Comuni,6
Polizia Municipale,4
Organismi di parità,2
Province/Città metropolitane,2
Altro,1
"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",1
Prefettura,1
Scuole/Ufficio scolastico provinciale e regionale,1
