regione,n_governance
Lombardia,35
Lazio,23
Emilia-Romagna,21
Piemonte,16
Toscana,10
Puglia,10
Abruzzo,6
Marche,6
Veneto,3
Calabria,3
Friuli-Venezia Giulia,2
Liguria,2
