file,ambito_territoriale,livello_prevalente,comune_prevalente,provincia_prevalente,regione_prevalente,lat,lon,n_soggetti,n_firmatari,n_proponenti,n_attori,n_governance,n_governance_generica,n_enti_capofila,ente_capofila_principale,bucket_ambito
13_2406_rta_13_241122115416_4166---PROTOCOLLOPESCARA.txt,regionale,comune,Pescara,Pescara,Abruzzo,42.40275175263158,14.04989462631579,33,29,15,29,0,0,1,Comune di Pescara,regionale
16_2406_rta_16_250409161633_4166---29_prot_n_0090671_2024_PROT_OP-ODVPOLIZIADISTATO-RISCOPRIRSI.txt,comunale,comune,Trani,Barletta-Andria-Trani,Puglia,41.250570499999995,16.3562428,3,3,0,3,1,0,0,,comunale
16_2406_rta_16_250409174252_4166---Protocollo_Intesa_LARA.txt,regionale,comune,Brindisi,Brindisi,Puglia,40.56842606666667,17.868725826666665,35,13,4,25,1,0,0,,regionale
16_2406_rta_16_250410122122_4166---Protocollo_Viola.txt,provinciale,comune,Foggia,Foggia,Puglia,41.487249526666666,15.543545413333334,28,26,0,25,1,0,0,,provinciale
16_bari_Protocollo Gioia del Colle_ATS_Rete locale.txt,regionale,comune,Bari,Bari,Puglia,41.1254785,16.8670863,12,0,0,9,1,0,0,,regionale
16_bari_protocollo operativo Gioia del Colle_EMI.txt,provinciale,comune,Gioia Del Colle,Bari,Puglia,40.88288034615385,16.95059793076923,22,4,2,15,1,0,0,,provinciale
16_bari_protocollo operativo Grumo_EMI.txt,provinciale,comune,Grumo Appula,Bari,Puglia,40.979313766666664,16.78313171111111,23,6,2,9,2,0,0,,provinciale
16_bari_protocollo operativo Mola di Bari_rete Antiviolenza.txt,comunale,comune,Mola Di Bari,Bari,Puglia,41.0349244,17.025566366666666,19,0,1,17,1,0,1,Comune di Mola di Bari,comunale
16_bari_protocollo operativo Putignano_EMI.txt,comunale,comune,Putignano,Bari,Puglia,40.8286582,17.18310544166667,29,15,2,15,0,0,0,,comunale
16_bari_protollo di intesa Putignano_rete antiviolenza.txt,comunale,comune,Putignano,Bari,Puglia,40.8955618,17.10447235,19,17,0,19,1,0,1,Comune di Putignano,comunale
16_bar_protocollo operativo Triggiano_rete antiviolenza.pdf.txt,regionale,comune,Bari,Bari,Puglia,41.10537946666667,16.886400433333332,22,10,0,12,0,0,0,,regionale
16_bat_convenzione CAV - ASL BT.txt,regionale,comune,Andria,Barletta-Andria-Trani,Puglia,41.25140050555555,16.248314949999997,30,6,1,10,3,0,0,,regionale
16_lecce_Protocollo Operativo - Procedure integrate per la prevenzione e il contrasto alla violenza contro donne e minori - Copia_Marcato.txt,regionale,comune,Lecce,Lecce,Puglia,40.277098566666666,18.12410928148148,53,10,16,44,3,0,0,,regionale
16_taranto_protocollo d'intesa CAVGinosa sottoscritto.txt,regionale,comune,Ginosa,Taranto,Puglia,40.55776114444445,16.964653933333334,13,5,0,12,1,0,0,,regionale
16_taranto_protocollo Prefettura ProvinciaTaranto.txt,regionale,comune,Taranto,Taranto,Puglia,40.48527528,17.25548232,28,12,0,23,1,0,0,,regionale
16_terreg_Prot_CGIL - CISL - CONFINDUSTRIA_CAV.txt,regionale,comune,Bari,Bari,Puglia,41.1254785,16.8670863,20,18,0,19,0,0,0,,regionale
17_2406_rta_17_250506142731_4166---Tavolodicoordinamentoemonitoraggio30-01-24.txt,regionale,comune,Potenza,Potenza,Basilicata,40.65300475,16.20272535,9,0,0,9,0,0,0,,regionale
17_2406_rta_17_250506142746_4166---Tavolodicoordinamentoemonitoraggio30-01-24.txt,regionale,comune,,,,,,3,0,0,3,0,0,0,,regionale
