file,files,regione,firmatario,tipo_30,tipo_10
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Liguria,Segreteria Tecnica del DSS 15 (Comune di Chiavari,Altro,altro
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,Sportelli PUA Unione Terre e Fiumi,Altro,altro
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,UDI - Unione Donne Italiane,Altro,altro
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,UNIONCASA,Altro,altro
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,UPPI,Altro,altro
08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,Emilia-Romagna,Ufficio Esecuzione Penale Esterna di Rimini,Altro,altro
08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,Emilia-Romagna,Ufficio di Presidenza della Conferenza Territoriale Sociale e Sanitaria (CTSS) della Provincia di Piacenza,Altro,altro
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,Conferenza Territoriale Sociale e Sanitaria Metropolitana di Bologna (CTSSM,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_AREZZO Prot_2024-2026.txt,09_AREZZO Prot_2024-2026.txt,Toscana,Conferenza Zonale dei Sindaci del Valdarno,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_AREZZO Prot_2024-2026.txt,09_AREZZO Prot_2024-2026.txt,Toscana,Conferenza Zonale dei Sindaci della Valdichiana Aretina,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_LUCCA PROV.txt,09_LUCCA PROV.txt,Toscana,Conferenza dei Sindaci ASL 2 zona Piana di Lucca,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_LUCCA PROV.txt,09_LUCCA PROV.txt,Toscana,Conferenza dei Sindaci ASL 2 zona Valle del Serchio,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_AREZZO Prot_2024-2026.txt,09_AREZZO Prot_2024-2026.txt,Toscana,Conferenza dei Sindaci della Zona Aretina,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_LUCCA PROV.txt,09_LUCCA PROV.txt,Toscana,Conferenza del Sindaci ASL 12 zona Versilia,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_PRATO PREF.txt,09_PRATO PREF.txt,Toscana,Società della Salute Area Pratese,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_FIRENZE Linee-di-indirizzo2024.txt,09_FIRENZE Linee-di-indirizzo2024.txt,Toscana,Società della Salute Fiorentina Nord Ovest,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_FIRENZE Linee-di-indirizzo2024.txt,09_FIRENZE Linee-di-indirizzo2024.txt,Toscana,Società della Salute Fiorentina Sud Est,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_FIRENZE Linee-di-indirizzo2024.txt,09_FIRENZE Linee-di-indirizzo2024.txt,Toscana,Società della Salute Firenze,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_FIRENZE Linee-di-indirizzo2024.txt,09_FIRENZE Linee-di-indirizzo2024.txt,Toscana,Società della Salute Mugello,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_PISTOIA PROV .txt,09_PISTOIA PROV .txt,Toscana,Società della Salute Valdinievole,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_PISA PREF E PROV.txt,09_PISA PREF E PROV.txt,Toscana,Società della Salute Zona Alta Valdicecina-Valdera,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_PISA PREF E PROV.txt,09_PISA PREF E PROV.txt,Toscana,Società della Salute Zona Empolese Valdarno Valdelsa,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_PISA PREF E PROV.txt,09_PISA PREF E PROV.txt,Toscana,Società della Salute Zona Pisana,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_APUANE_2015 Protocollo Prefettura.txt,09_APUANE_2015 Protocollo Prefettura.txt,Toscana,Società della Salute della Lunigiana,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Emilia-Romagna,Unione Comuni modenesi dell'Area Nord,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio
09_APUANE_2015 Protocollo Prefettura.txt,09_APUANE_2015 Protocollo Prefettura.txt,Toscana,Centro di Ascolto CIF di Carrara,Altro,altro
09_AREZZO Prot_2024-2026.txt,09_AREZZO Prot_2024-2026.txt,Toscana,Conferenza Zonale dei Sindaci del Casentino/Unione dei Comuni Montani del Casentino,Province/Città metropolitane,Province/Città metropolitane
09_AREZZO Prot_2024-2026.txt,09_AREZZO Prot_2024-2026.txt,Toscana,Conferenza Zonale dei Sindaci della Valtiberina Toscana/Unione Montana dei Comuni della Valtiberina Toscana,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Emilia-Romagna,Unione Comuni del Sorbara,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,Unione Rubicone e Mare,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Emilia-Romagna,Unione Terre di Castelli,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,Unione Terre e Fiumi,Province/Città metropolitane,Province/Città metropolitane
