regione,CAV,Settore giudiziario,Servizi comunali,settore sanitario,Regioni/province Autonome,Territorio,Settore Educativo,associazionismo,altro,Province/Città metropolitane,NON CLASSIFICATO,Totale riga
Abruzzo,20,31,50,28,1,8,19,33,22,5,0,217
Basilicata,3,0,2,0,1,0,0,1,2,0,0,9
Calabria,21,29,23,11,3,10,5,7,19,7,0,135
Emilia-Romagna,43,46,135,38,2,11,18,58,46,22,0,419
Friuli-Venezia Giulia,6,18,12,5,0,0,4,6,2,2,0,55
Lazio,69,31,28,21,2,6,28,97,45,2,0,329
Liguria,16,16,9,16,1,5,2,8,7,1,0,81
Lombardia,109,69,257,98,1,96,34,198,89,21,0,972
Marche,16,29,15,17,1,35,4,39,4,8,0,168
Piemonte,32,8,31,41,1,30,7,30,47,11,0,238
Puglia,30,25,36,36,2,33,5,20,25,3,0,215
Sardegna,11,27,0,12,1,30,1,27,7,1,0,117
Toscana,20,38,123,18,2,29,8,22,15,13,0,288
Trento,14,10,15,33,0,9,4,22,12,0,0,119
Umbria,0,15,11,4,1,1,1,9,2,1,0,45
Valle d'Aosta/Vallée d'Aoste,0,0,1,2,1,0,0,2,4,0,0,10
Veneto,32,33,72,20,0,16,17,32,7,2,0,231
Totale colonna,442,425,820,400,20,319,157,611,355,99,0,3648
