comune,totale_soggetti,firmatari,proponenti,attori,gestione,monitoraggio,coordinamento,governance_totale,governance_generica,ente_capofila
Parenti,5,0,0,5,0,0,0,0,0,0
Passirano,2,2,0,2,0,0,0,0,0,0
Pastena,1,1,0,1,0,0,0,0,0,0
Paterno,1,1,0,0,0,0,0,0,0,0
Paterno Calabro,3,0,3,3,0,0,0,0,0,0
Paullo,1,0,0,1,0,0,0,0,0,0
Pavia,23,23,20,23,1,0,2,3,0,1
Peccioli,1,1,0,1,0,0,0,0,0,0
Pero,2,1,0,1,0,0,0,0,0,0
Perosa Argentina,1,1,0,1,0,0,0,0,0,0
Perugia,12,0,0,12,0,0,0,0,0,0
Pesaro,6,4,2,6,0,0,1,1,0,1
Pescara,16,16,14,16,0,0,0,0,0,1
Peschiera Borromeo,1,0,0,1,0,0,0,0,0,1
Pescia,1,1,0,1,0,0,0,0,0,0
Pescocostanzo,1,1,0,0,0,0,0,0,0,0
Pessano con Bornago,1,1,0,0,0,0,0,0,0,0
Petritoli,1,1,0,0,0,0,0,0,0,0
Pezzaze,1,0,1,1,0,0,0,0,0,0
Piacenza,25,16,16,25,0,0,1,1,0,0
Pianiga,1,0,0,1,0,0,0,0,0,0
Pianoro,1,1,0,1,0,0,0,0,0,0
Pieve Emanuele,1,1,0,1,0,0,0,0,0,1
Pieve a Nievole,1,1,0,1,0,0,0,0,0,0
Pieve di Cento,1,1,0,1,0,0,0,0,0,0
Piglio,2,0,0,1,0,0,0,0,0,0
Pinerolo,5,3,2,5,1,0,0,1,0,0
Pineto,1,1,0,1,0,0,0,0,0,0
Pioltello,2,2,2,2,0,0,0,0,0,0
Pisa,10,10,5,10,1,0,0,1,0,0
Pistoia,8,8,0,8,0,0,0,0,0,1
Pitigliano,1,0,0,1,0,0,0,0,0,0
Pizzo,1,1,0,1,0,0,0,0,0,0
Poggiardo,1,0,0,1,0,0,0,0,0,0
Poggibonsi,2,0,2,2,0,0,0,0,0,0
Poggio a Caiano,1,1,0,1,0,0,0,0,0,0
Pogliano Milanese,1,0,0,0,0,0,0,0,0,0
Polaveno,1,0,1,1,0,0,0,0,0,0
Pomarance,2,2,0,2,0,0,0,0,0,0
Pompiano,1,1,0,1,0,0,0,0,0,0
Poncarale,1,1,0,1,0,0,0,0,0,0
Ponderano,2,0,0,1,0,0,0,0,0,0
Ponsacco,1,1,0,1,0,0,0,0,0,0
Pontassieve,1,0,0,0,0,0,0,0,0,0
Ponte Buggianese,1,1,0,1,0,0,0,0,0,0
Ponte San Pietro,2,2,0,2,0,0,0,0,0,0
Pontedera,3,3,0,3,0,0,0,0,0,0
Pontida,1,1,0,1,0,0,0,0,0,0
Pontoglio,1,1,0,1,0,0,0,0,0,0
Pordenone,17,17,0,17,0,0,1,1,0,1
Porto San Giorgio,1,1,0,0,0,0,0,0,0,0
Portogruaro,3,2,0,3,0,0,0,0,0,0
Potenza,1,0,0,1,0,0,0,0,0,0
Pozzo d’Adda,1,1,0,0,0,0,0,0,0,0
Pozzuolo Martesana,1,1,0,0,0,0,0,0,0,0
Pramaggiore,1,1,0,1,0,0,0,0,0,0
Prato,8,8,0,8,0,0,0,0,0,0
Pregnana Milanese,1,0,0,0,0,0,0,0,0,0
Presezzo,1,1,0,1,0,0,0,0,0,0
Priola,1,0,0,0,0,0,0,0,0,0
Priverno,3,0,0,3,1,0,0,1,0,0
Provaglio d'Iseo,1,1,0,1,0,0,0,0,0,0
Putignano,5,5,2,5,0,0,0,0,0,1
Quarrata,1,1,0,1,0,0,0,0,0,0
Quarto d’Altino,1,0,0,1,0,0,0,0,0,0
Quinto di Treviso,1,0,0,1,0,0,0,0,0,0
Quinzano d'Oglio,1,1,0,1,0,0,0,0,0,0
ROMA,1,1,0,1,0,0,0,0,0,0
Radicondoli,2,0,2,2,0,0,0,0,0,0
Ravenna,6,5,0,5,1,0,0,1,0,1
Rende,3,1,0,1,0,0,0,0,0,0
Rescaldina,1,1,0,1,0,0,0,0,0,0
Rezzato,1,1,0,1,0,0,0,0,0,0
Rho,14,14,2,14,1,0,0,1,0,1
Riccione,2,2,0,2,0,0,0,0,0,0
Rieti,12,12,0,12,0,0,0,0,0,0
Rimini,16,16,2,17,1,0,0,1,0,0
Riolo Terme,2,2,0,2,0,0,0,0,0,0
Riparbella,1,1,0,1,0,0,0,0,0,0
Riva del Po,1,0,0,1,0,0,0,0,0,0
Rivisondoli,1,1,0,0,0,0,0,0,0,0
Rivoli,2,1,1,2,0,0,0,0,0,0
Rocca Pia,1,1,0,0,0,0,0,0,0,0
Rocca San Giovanni,3,3,0,3,0,0,0,0,0,0
Rocca Santa Maria,1,1,0,1,0,0,0,0,0,0
Roccafranca,1,1,0,1,0,0,0,0,0,0
Roccaraso,1,1,0,0,0,0,0,0,0,0
Rodano,1,1,0,0,0,0,0,0,0,0
Rodengo Saiano,2,2,0,2,0,0,0,0,0,0
Roma,175,111,8,126,14,0,3,17,0,1
Romans d'Isonzo,1,1,0,0,0,0,0,0,0,0
Roncadelle,1,1,0,1,0,0,0,0,0,0
Ronchi dei Legionari,1,1,0,0,0,0,0,0,0,0
Ronciglione,1,0,0,0,0,0,0,0,0,0
Roseto degli Abruzzi,1,1,0,1,0,0,0,0,0,0
Rovato,1,1,0,1,0,0,0,0,0,0
Rovigo,9,9,0,9,0,0,0,0,0,0
Rozzano,1,1,1,1,0,0,0,0,0,1
Rudiano,1,1,0,1,0,0,0,0,0,0
Russi,1,0,0,1,0,0,0,0,0,0
Rutigliano,2,0,0,2,0,0,0,0,0,0
Sacile,1,1,0,1,0,0,0,0,0,1
Sagrado,1,1,0,0,0,0,0,0,0,0
Sala Bolognese,1,1,0,1,0,0,0,0,0,0
Sale Marasino,1,1,0,1,0,0,0,0,0,0
Salo,1,0,0,1,0,0,0,0,0,0
Saludecio,1,0,0,1,0,0,0,0,0,0
Saluzzo,3,3,0,3,0,0,0,0,0,0
Salzano,1,0,0,1,0,0,0,0,0,0
Samarate,1,0,0,1,0,0,0,0,0,0
Sambuca Pistoiese,1,1,0,1,0,0,0,0,0,0
Sammichele di Bari,2,0,0,2,0,0,0,0,0,0
San Benedetto Val di Sambro,1,1,0,1,0,0,0,0,0,0
San Benedetto del Tronto,1,1,0,1,0,0,0,0,0,0
San Canzian d'Isonzo,1,1,0,0,0,0,0,0,0,0
San Casciano dei Bagni,1,0,0,1,0,0,0,0,0,0
San Cesario sul Panaro,1,1,0,1,0,0,0,0,0,0
San Clemente,1,1,0,1,0,0,0,0,0,0
San Colombano al Lambro,1,1,0,1,0,0,0,0,0,0
San Dona di Piave,2,2,0,2,0,0,0,0,0,1
San Donato Milanese,1,1,1,1,0,0,0,0,0,1
San Felice sul Panaro,1,0,0,1,0,0,0,0,0,0
San Ferdinando di Puglia,1,0,0,0,0,0,0,0,0,0
San Floriano del Collio,1,1,0,0,0,0,0,0,0,0
San Gimignano,2,0,2,2,0,0,0,0,0,0
San Giorgio Bigarello,1,1,1,1,1,0,0,1,0,0
San Giorgio di Piano,1,1,0,1,0,0,0,0,0,0
San Giorgio su Legnano,1,1,0,1,0,0,0,0,0,0
San Giovanni Rotondo,1,1,0,1,0,0,0,0,0,0
San Giovanni Teatino,5,4,0,4,0,0,0,0,0,0
San Giovanni in Croce,1,1,0,1,0,0,0,0,0,0
San Giovanni in Marignano,1,1,0,1,0,0,0,0,0,0
San Giovanni in Persiceto,1,1,0,1,0,0,0,0,0,0
San Giuliano Milanese,1,0,0,1,0,0,0,0,0,0
San Giuliano Terme,1,1,0,1,0,0,0,0,0,0
San Lazzaro di Savena,2,2,0,3,0,0,0,0,0,1
San Lorenzo Isontino,1,1,0,0,0,0,0,0,0,0
San Maurizio d’Opaglio,1,0,0,1,0,0,0,0,0,0
San Michele al Tagliamento,1,1,0,1,0,0,0,0,0,0
San Miniato,2,2,0,2,1,0,0,1,0,0
San Paolo,1,1,0,1,0,0,0,0,0,0
San Pier d'Isonzo,1,1,0,0,0,0,0,0,0,0
San Pietro in Casale,1,1,0,1,0,0,0,0,0,0
San Possidonio,1,0,0,1,0,0,0,0,0,0
San Prospero,1,0,0,1,0,0,0,0,0,0
San Salvo,4,6,3,6,2,0,4,4,0,0
San Stino di Livenza,1,1,0,1,0,0,0,0,0,0
San Vito Chietino,3,3,0,3,0,0,0,0,0,0
San Vito al Tagliamento,1,1,0,1,0,0,0,0,0,1
San Vittore Olona,2,2,0,2,0,0,0,0,0,0
San Zeno Naviglio,1,1,0,1,0,0,0,0,0,0
San Zenone al Lambro,1,0,0,1,0,0,0,0,0,0
Sanluri,2,2,0,2,0,0,0,0,0,0
Sannicandro di Bari,1,0,0,0,0,0,0,0,0,0
Sanremo,1,1,0,1,0,0,0,0,0,1
Santa Croce sull'Arno,1,1,0,1,0,0,0,0,0,0
Santa Luce,1,1,0,1,0,0,0,0,0,0
Santa Maria Imbaro,3,3,0,3,0,0,0,0,0,0
Santa Maria a Monte,1,1,0,1,0,0,0,0,0,0
Santa Maria di Sala,1,0,0,1,0,0,0,0,0,0
Santarcangelo di Romagna,1,1,0,1,0,0,0,0,0,0
Santhia,1,1,1,1,1,0,0,1,0,0
Santhià,1,0,1,1,0,0,0,0,0,0
Sant’Agata Bolognese,1,1,0,1,0,0,0,0,0,0
Sant’Angelo Lodigiano,1,1,1,1,0,0,0,0,0,0
Sant’Elpidio a Mare,1,1,0,0,0,0,0,0,0,0
Sarezzo,1,0,1,1,0,0,0,0,0,0
Saronno,2,2,0,2,0,0,0,0,0,1
Sarteano,1,0,0,1,0,0,0,0,0,0
Sassari,16,15,0,16,0,0,0,0,0,0
Sasso Marconi,1,2,0,2,0,0,0,0,0,0
Sassuolo,1,1,0,1,0,0,0,0,0,0
Savigliano,5,5,0,5,0,0,0,0,0,0
Savogna d'Isonzo,1,1,0,0,0,0,0,0,0,0
Savona,4,4,0,4,0,0,0,0,0,1
Scandicci,1,0,0,0,0,0,0,0,0,0
Scansano,1,0,0,1,0,0,0,0,0,0
Scarlino,1,0,0,1,0,0,0,0,0,0
Schio,5,5,0,4,1,0,0,1,0,0
Scigliano,5,0,0,5,0,0,0,0,0,0
Scontrone,1,1,0,0,0,0,0,0,0,0
Scorzé,1,0,0,1,0,0,0,0,0,0
Segrate,1,1,0,0,0,0,0,0,0,0
Selvazzano Dentro,1,0,0,1,0,0,0,0,0,0
Senago,1,0,0,0,0,0,0,0,0,0
Senigallia,2,0,0,2,0,0,0,0,0,0
Seregno,1,1,1,1,0,0,0,0,0,0
Seriate,2,2,2,2,0,0,0,0,0,1
Serravalle Pistoiese,1,1,0,1,0,0,0,0,0,0
Sesto Calende,1,1,0,1,0,0,0,0,0,0
Sesto Fiorentino,1,0,0,0,0,0,0,0,0,0
Sesto San Giovanni,9,3,3,8,1,0,0,1,0,0
Settala,1,1,0,0,0,0,0,0,0,0
Settimo Torinese,1,1,0,1,0,0,0,0,0,0
Settingiano,1,1,0,1,0,0,0,0,0,0
Sezze,1,0,0,0,0,0,0,0,0,0
Siena,7,0,0,7,0,0,0,0,0,0
Silvi,1,1,0,1,0,0,0,0,0,0
Sinalunga,1,0,0,1,0,0,0,0,0,0
Siniscola,1,1,0,1,0,0,0,0,0,0
Solaro,1,0,0,0,0,0,0,0,0,0
Solarolo,2,2,0,2,0,0,0,0,0,0
Solbiate Arno,1,0,0,1,0,0,0,0,0,0
Solza,1,1,0,1,0,0,0,0,0,0
Somma Lombardo,1,1,0,1,0,0,0,0,0,1
Sondrio,11,10,10,11,0,0,0,0,0,1
Sora,6,6,0,6,2,0,0,2,0,0
Sorano,1,0,0,1,0,0,0,0,0,0
Soresina,1,0,0,1,0,0,0,0,0,0
Sorgono,1,1,0,1,0,0,0,0,0,0
Sotto il Monte Giovanni XXIII,1,1,0,1,0,0,0,0,0,0
Spinazzola,1,0,0,0,0,0,0,0,0,0
Spinea,1,0,0,1,0,0,0,0,0,0
Spoleto,5,0,0,5,0,0,0,0,0,0
Stalettì,1,1,0,1,0,0,0,0,0,0
Staranzano,1,1,0,0,0,0,0,0,0,0
Stra,1,0,0,1,0,0,0,0,0,0
Stradella,1,1,0,1,0,0,0,0,0,0
Suisio,1,1,0,1,0,0,0,0,0,0
Sulmona,12,7,4,10,1,0,0,1,0,1
Sulzano,1,1,0,1,0,0,0,0,0,0
Susa,2,1,0,2,0,0,0,0,0,0
Sutri,1,0,0,0,0,0,0,0,0,0
Suzzara,1,1,1,1,0,0,0,0,0,0
TORINO,1,1,0,1,1,0,0,1,0,0
Taranto,11,7,0,11,0,0,1,1,0,0
Tarquinia,1,1,0,1,0,0,0,0,0,0
Tavernole sul Mella,1,0,1,1,0,0,0,0,0,0
Teglio Veneto,1,1,0,1,0,0,0,0,0,0
Tempio Pausania,4,4,0,4,0,0,0,0,0,0
Teramo,12,12,0,12,0,0,0,0,0,0
Terni,7,0,0,7,0,0,0,0,0,0
Terno d'Isola,1,1,0,1,0,0,0,0,0,0
Terno d’Isola,1,1,0,1,0,0,0,0,0,1
Terricciola,1,1,0,1,0,0,0,0,0,0
Thiene,5,4,0,5,0,0,0,0,0,0
Tirano,1,1,0,1,1,0,0,1,0,0
Tivoli,4,0,0,4,0,0,0,0,0,0
Tocco da Casauria,1,1,0,1,0,0,0,0,0,0
Torbole Casaglia,1,1,0,1,0,0,0,0,0,0
Torino,25,16,10,19,0,1,2,3,0,1
Toritto,1,0,0,1,0,0,0,0,0,0
Torre De Busi,1,1,0,1,0,0,0,0,0,0
Torre di Mosto,1,1,0,1,0,0,0,0,0,0
Torricella Sicura,1,1,0,1,0,0,0,0,0,0
Torricella in Sabina,1,0,0,0,0,0,0,0,0,0
Torrita di Siena,1,0,0,1,0,0,0,0,0,0
Tortoli,1,1,0,1,0,0,0,0,0,0
Tortoreto,1,1,0,1,0,0,0,0,0,0
Tradate,2,2,0,2,1,0,0,1,0,0
Trani,3,2,0,2,0,0,0,0,0,0
Travagliato,1,1,0,1,0,0,0,0,0,0
Treglio,3,3,0,3,0,0,0,0,0,0
Treia,1,1,0,1,0,0,0,0,0,0
Trenzano,1,1,0,1,0,0,0,0,0,0
Trequanda,1,0,0,1,0,0,0,0,0,0
Tresignana,1,0,0,1,0,0,0,0,0,0
Treviglio,14,14,10,14,2,0,0,2,0,1
Trevignano Romano,1,1,0,1,0,0,0,0,0,0
Treviso,11,0,0,9,0,0,0,0,0,0
Trezzano Rosa,1,1,0,0,0,0,0,0,0,0
Trezzano Sul Naviglio,1,1,0,1,0,0,0,0,0,0
Trezzo sull’ Adda,1,1,0,1,1,0,0,1,0,0
Trezzo sull’Adda,2,2,2,2,0,0,0,0,0,0
Tribiano,1,0,0,1,0,0,0,0,0,0
Trieste,7,3,0,6,0,0,0,0,0,0
Triggiano,1,1,0,1,0,0,0,0,0,0
Trinitapoli,1,0,0,0,0,0,0,0,0,0
Trucazzano,1,1,0,0,0,0,0,0,0,0
Turi,2,0,0,2,0,0,0,0,0,0
Turriaco,1,1,0,0,0,0,0,0,0,0
Uboldo,1,0,0,1,0,0,0,0,0,0
Udine,19,18,0,19,1,0,0,1,0,0
Urago d'Oglio,1,1,0,1,0,0,0,0,0,0
Urbino,4,4,1,4,0,0,0,0,0,0
Uzzano,1,1,0,1,0,0,0,0,0,0
Vaiano,1,1,0,1,0,0,0,0,0,0
Valdobbiadene,1,1,0,1,0,0,0,0,0,0
Vallecorsa,1,1,0,1,0,0,0,0,0,0
Valsamoggia,1,1,0,1,0,0,0,0,0,0
Vanzago,1,0,0,0,0,0,0,0,0,0
Vaprio d’Adda,1,1,0,0,0,0,0,0,0,0
Varese,11,9,0,9,1,0,0,1,0,2
Vasto,14,13,13,14,0,0,0,0,0,1
Vecchiano,1,1,0,1,0,0,0,0,0,0
Vedelago,1,0,0,1,0,0,0,0,0,0
Vejano,1,0,0,0,0,0,0,0,0,0
Velletri,2,0,0,0,0,0,0,0,0,0
Venezia,41,35,0,41,0,0,0,0,0,0
Vercelli,30,29,29,29,0,0,2,2,0,0
Vergato,1,1,0,1,0,0,0,0,0,0
Vernate,1,1,0,1,0,0,0,0,0,0
Vernio,1,1,0,1,0,0,0,0,0,0
Verona,19,16,0,19,1,0,1,1,0,0
Verrès,1,0,0,1,0,0,0,0,0,0
Verucchio,1,1,0,1,0,0,0,0,0,0
Vetralla,3,0,0,0,0,0,0,0,0,0
Viadana,1,1,1,1,0,0,0,0,0,0
Vibo Valentia,5,1,0,1,0,0,0,0,0,0
Vicenza,15,15,14,15,0,0,0,0,0,0
Vicopisano,1,1,0,1,0,0,0,0,0,0
Vigevano,2,2,0,2,1,0,0,1,0,0
Vignate,1,1,0,0,0,0,0,0,0,0
Vigonovo,1,0,0,1,0,0,0,0,0,0
Villa Carcina,1,0,1,1,0,0,0,0,0,0
Villa Cortese,1,1,0,1,0,0,0,0,0,0
Villa San Giovanni,1,1,0,1,0,0,0,0,0,0
Villa San Giovanni in Tuscia,1,0,0,0,0,0,0,0,0,0
Villa Santo Stefano,1,1,0,1,0,0,0,0,0,0
Villa d’Adda,1,1,0,1,0,0,0,0,0,0
Villachiara,1,1,0,1,0,0,0,0,0,0
Villasanta,1,1,1,1,0,0,0,0,0,0
Villesse,1,1,0,0,0,0,0,0,0,0
Villetta Barrea,1,1,0,0,0,0,0,0,0,0
Vimercate,2,2,1,2,0,0,0,0,0,0
Vimodrone,1,1,0,0,0,0,0,0,0,0
Viterbo,12,1,6,10,0,0,0,0,0,1
Vizzola Ticino,1,0,0,1,0,0,0,0,0,0
Vizzolo Predabissi,1,0,0,1,0,0,0,0,0,0
Voghera,2,2,0,2,1,0,0,1,0,0
Voghiera,1,1,0,1,0,0,0,0,0,0
Volterra,1,1,0,1,0,0,0,0,0,0
Zanica,1,0,0,1,0,0,0,0,0,0
Zibido San Giacomo,1,1,0,1,0,0,0,0,0,0
Zola Predosa,1,1,0,1,0,0,0,0,0,0
Zone,1,1,0,1,0,0,0,0,0,0
