file,attore_1,attore_2
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Comitato Pari Opportunita dell'Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Comune di Casole d'Elsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Comune di Colle di Val d'Elsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Comune di Poggibonsi
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Comune di Radicondoli
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Comune di San Gimignano
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Consultorio Azienda USL Toscana Sud Est Zona Valdelsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Fondazione Territori Sociali Altavaldelsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Forze di Polizia Giudiziaria
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Guardia di Finanza
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Ordine degli Avvocati di Siena
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Polizia Municipale di Casole d'Elsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Polizia Municipale di Colle Val d'Elsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Polizia Municipale di Poggibonsi
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Polizia Municipale di Radicondoli
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Polizia Municipale di San Gimignano
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Polizie Municipali dei Comuni della Valdelsa
