regione,file,firmatario,tipo,macro_categoria
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Casalfiumanese,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Castel Guelfo di Bologna,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Castel Maggiore,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Castel San Pietro Terme,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Castel d'Aiano,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Castel del Rio,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Castel di Casio,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Castello d'Argile,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Castenaso,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Castiglione dei Pepoli,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Crevalcore,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Dozza,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Fontanelice,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Gaggio Montano,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Galliera,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Granarolo dell'Emilia,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Grizzana Morandi,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Lizzano in Belvedere,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Loiano,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Malalbergo,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Marzabotto,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Medicina,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Minerbio,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Molinella,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Monghidoro,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Monte San Pietro,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Monterenzio,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Monzuno,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Mordano,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Ozzano dell'Emilia,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Pianoro,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Pieve di Cento,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Sala Bolognese,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di San Benedetto Val di Sambro,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di San Giorgio di Piano,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di San Giovanni in Persiceto,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di San Pietro in Casale,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Sant'Agata Bolognese,Comuni,Enti territoriali / servizi comunali
