id_rete,file,titolo_rete,regione,provincia,ambito_territoriale,atto_formale,tipologia_dominante_10,n_soggetti,n_attori,n_firmatari,n_proponenti,n_gestione,n_monitoraggio,n_coordinamento,n_governance,Totale Riga
09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,0.0,0.0,0.0,0.0,0.0,1,0.0,10,2,2,0,0,0,2,2,19.0
09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,0.0,0.0,0.0,0.0,0.0,1,0.0,13,13,0,1,0,0,2,2,32.0
05_2406_rta_05_240916173648_4166---ULSS5Polesana_Protocollodirete.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,35,32,19,0,2,0,1,3,92.0
05_2406_rta_05_240918144304_4166---Protocollo_ULSS2-DistrettoTreviso.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,25,24,0,0,0,0,0,0,49.0
05_2406_rta_05_240919124736_4166---Protocollo_per_contrasto_alla_violenza_di_genere.stamped.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,45,39,17,0,3,1,4,6,115.0
10_2406_rta_10_250506141901_4166---ProtocollounicoregionaleRINNOVATO.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,45,45,0,3,0,0,11,11,115.0
02_2406_rta_02_240904124958_4166---lrn4del25feb2013.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,22,10,0,1,0,2,0,2,37.0
05_2406_rta_05_240916131522_4166---protocolloaggiornamento2023.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,81,81,50,1,0,0,1,1,215.0
05_2406_rta_05_240916135305_4166---protocolloulss4.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,32,32,32,0,0,0,1,1,98.0
05_2406_rta_05_240917141534_4166---protocollodiretefirmato.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,38,34,15,3,2,0,1,3,96.0
05_2406_rta_05_240918153458_4166---protocolloprovPadova.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,21,20,20,0,0,0,1,1,63.0
05_2406_rta_05_240919114041_4166---protocollounicorevisionato2024.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,42,35,23,0,2,0,1,3,106.0
05_2406_rta_05_240919122126_4166---PROTOCOLLOULSS8BERICA.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,21,19,17,17,1,0,2,3,80.0
06_2406_rta_06_240916164122_4166---prot_n_0119980_2024_Accordo(firmato).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,26,11,8,0,1,0,0,1,47.0
06_2406_rta_06_240916164153_4166---protocolloprefettura.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,19,18,11,0,1,1,0,2,52.0
06_2406_rta_06_240924164454_4166---protocollo_tempo_sospeso.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,18,16,6,0,0,2,0,2,44.0
Totale Colonna,0.0,0.0,0.0,0.0,0.0,19,0.0,4502,3648,2689,586,143,46,195,367,12195.0
