file,categoria,estratto
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,province,Di Novara Con Il Centro Servizi Pari Opportunita Mettera A Cisposizione
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,province,Di Novara Consorzio Intercomunale Per La Gestione Dei Servizi Socioassistenziali Di Borgomanero Consorzio Intercomunale Per La Gestione Dei Servizi Socioassistenziali Di Castelletto Sopra Ticino Comune Di Arona E Comuni Convenzionati Consorzio Intercomunale Dei Servizi Socio-Assistenziali Zona Cusio-Omegna Premesso
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,province,Di Novara Per I'Associazione Mamre Onlus Asvaciazione
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,comuni,Arona
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,comuni,Borgomanero
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,comuni,Marano Ticino
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,associazioni,Onlus
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,associazioni,Onlus Asvaciazione
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,consorzi,Castelletto Sopra Ticino Mettera A Disposizione
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,consorzi,Intercomunale Dei Servizi Socio-Assistenziali
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,consorzi,Intercomunale Per La Gesti Socioassistenziali Di Castelletto Sopra Ade C Per Il Comune Di Aronaet Commun
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,consorzi,Intercomunale Per La Gestione Dei Servizi Socio-Assistenziali -
01_2406_rta_01_240904150044_4166---Protocollocav-irene2022-2025.json,consorzi,Intercomunale Servizi Socio Assistenziali
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,regioni,Piemonte
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,A Disposizione
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,A Disposizione Personale Femminile
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Annualmente Dei Corsi Di Formazione
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Assicura
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Avvale Di Un Modello A Rete
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Base A Specifiche Competenze
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Con Propri Componenti Al Tavolo Regionale Di Coordinamento Dei Centri
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Donna Onlus
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Garantisce La
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Gli Interventi Di Accoglienza Di Cui Alla Presente Convenzione
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Impegna A Garantire Il Buon Funzionamento Dei
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Impegna A Predisporre E Tenere Un Sistema Di Documentazione Relativa Al Servizio
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Impegna Ad Assicurare
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Le Proprie Sedi
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Odv
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Percorsi Dedicati
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Rivolto All
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.json,associazioni,Un Proprio Referente A Responsabile Del Trattamento Dei Dati Personaii
01_2406_rta_01_240909103717_4166---PROTOCOLLORETEANTIVIOLENZASVOLTADONNA.json,regioni,Piemonte
01_2406_rta_01_240909103717_4166---PROTOCOLLORETEANTIVIOLENZASVOLTADONNA.json,associazioni,Odv
01_2406_rta_01_240909103717_4166---PROTOCOLLORETEANTIVIOLENZASVOLTADONNA.json,associazioni,Ody
01_2406_rta_01_240909103717_4166---PROTOCOLLORETEANTIVIOLENZASVOLTADONNA.json,associazioni,Odyv
01_2406_rta_01_240909103717_4166---PROTOCOLLORETEANTIVIOLENZASVOLTADONNA.json,associazioni,Persegue I Propri Fini Statutari Mediante Azioni
01_2406_rta_01_240909103717_4166---PROTOCOLLORETEANTIVIOLENZASVOLTADONNA.json,associazioni,Svoltadonnaodv
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,regioni,Gonzole
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,regioni,Piemonte
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,comuni,Orbassano
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,associazioni,Antiviolenza E
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,associazioni,Donna Onlus
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,associazioni,Donne & Futuro Onlus
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,consorzi,
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,consorzi,Chivasso
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,consorzi,Cirie
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,consorzi,Cooperative Sociali Veronica Finocchio
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,consorzi,Intercomunale Paola Barbarino Socio Assistenziale Valle Di Susa
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,consorzi,Intercomunale Socio-Assistenziale Legale Rappresentante
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,consorzi,Intercomunale Socio-Assistenziale Valle Di Susa
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,consorzi,Nichelino
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,consorzi,Pinerolo Nell
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.json,consorzi,Servizi
01_2406_rta_01_240909112136_4166---convenzionecarmagnola.json,comuni,Carmagnola Gestito Dai Centri
01_2406_rta_01_240909112136_4166---convenzionecarmagnola.json,comuni,Carmagnola Ha Da Tempo Assunto Il Proprio Impegno Contro La Violenza Sulle Donne
01_2406_rta_01_240909112136_4166---convenzionecarmagnola.json,comuni,Carmagnola Indica Quale Proprio Referente Il Responsabile Del Servizio Giovani
01_2406_rta_01_240909112136_4166---convenzionecarmagnola.json,comuni,Carmagnola Intende Offrire Concretamente
01_2406_rta_01_240909112136_4166---convenzionecarmagnola.json,comuni,Carmagnola Luciana Chiavirano
01_2406_rta_01_240909112136_4166---convenzionecarmagnola.json,comuni,Carmagnola Mette A Disposizione Uno Spazio Adeguato E Riservato Dove Poter
01_2406_rta_01_240909112136_4166---convenzionecarmagnola.json,comuni,Carmagnola Per La Gestione Dello Sportello Antiviolenza Corrispondente A
01_2406_rta_01_240909112136_4166---convenzionecarmagnola.json,comuni,Carmagnola Una Reportistica Semestrale Degli Accessi Allo Sportello
01_2406_rta_01_240909112136_4166---convenzionecarmagnola.json,associazioni,Antiviolenza E
01_2406_rta_01_240909113151_4166---CONVENZIONERIVOLI.json,comuni,Rivoli - Trasmissione Do-
01_2406_rta_01_240909113151_4166---CONVENZIONERIVOLI.json,comuni,Rivoli Corso Francia
01_2406_rta_01_240909113151_4166---CONVENZIONERIVOLI.json,comuni,Rivoli Ha Espresso La Volonta Di Mantenere Attivo Lo Sportello Antiviolenza Si Rende Necessario Affidare La Gestione Operativa Dello Sportello Antiviolenza
01_2406_rta_01_240909113151_4166---CONVENZIONERIVOLI.json,associazioni,Antiviolenza E
01_2406_rta_01_240909113151_4166---CONVENZIONERIVOLI.json,associazioni,Pervenire
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,regioni,Ai Fini Del Mantenimento Dei Requisiti Di Iscrizione Del Centro Anti Violenza N
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,regioni,Piemonte - Direzione Coesione Sociale
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,regioni,Piemonte - Settore Politiche Per I Bambini
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,regioni,Piemonte E Della Successiva Rendicontazione
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,regioni,Piemonte E Disposizioni Per L'Istituzione Dei Bilanci Di Genere
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,comuni,Bra - Gestione Associata Dei Servizi Socio
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,comuni,Bra Prevede La Collaborazione Con La Rete Territoriale Di Afferenza Dell
